census_tract,total_applications,approvals,approval_rate,denial_rate
24017851001,93,81,0.8709677419354839,0.12903225806451613
24017851003,70,65,0.9285714285714286,0.0714285714285714
24017851004,300,272,0.9066666666666666,0.09333333333333338
24017851100,34,27,0.7941176470588235,0.20588235294117652
24017851200,79,75,0.9493670886075949,0.05063291139240511
24017851301,57,53,0.9298245614035088,0.07017543859649122
24017851302,88,85,0.9659090909090909,0.03409090909090906
24017851401,42,39,0.9285714285714286,0.0714285714285714
24017851402,72,59,0.8194444444444444,0.18055555555555558
24017851403,36,31,0.8611111111111112,0.13888888888888884
24017851501,64,53,0.828125,0.171875
24017851502,257,209,0.8132295719844358,0.1867704280155642
24033800102,30,26,0.8666666666666667,0.1333333333333333
24033800103,6,5,0.8333333333333334,0.16666666666666663
24033800105,63,56,0.8888888888888888,0.11111111111111116
24033800106,123,100,0.8130081300813008,0.1869918699186992
24033800108,22,18,0.8181818181818182,0.18181818181818177
24033800109,23,22,0.9565217391304348,0.04347826086956519
24033800203,44,41,0.9318181818181818,0.06818181818181823
24033800206,41,36,0.8780487804878049,0.12195121951219512
24033800209,14,13,0.9285714285714286,0.0714285714285714
24033800210,7,5,0.7142857142857143,0.2857142857142857
24033800211,102,87,0.8529411764705882,0.1470588235294118
24033800212,115,101,0.8782608695652174,0.12173913043478257
24033800213,73,57,0.7808219178082192,0.2191780821917808
24033800216,59,53,0.8983050847457628,0.10169491525423724
24033800217,33,30,0.9090909090909091,0.09090909090909094
24033800218,22,17,0.7727272727272727,0.2272727272727273
24033800401,44,37,0.8409090909090909,0.15909090909090906
24033800402,70,62,0.8857142857142857,0.11428571428571432
24033800403,46,42,0.9130434782608695,0.08695652173913049
24033800408,126,97,0.7698412698412699,0.23015873015873012
24033800409,78,68,0.8717948717948718,0.1282051282051282
24033800410,59,52,0.8813559322033898,0.11864406779661019
24033800411,59,56,0.9491525423728814,0.05084745762711862
24033800412,29,26,0.896551724137931,0.10344827586206895
24033800413,37,32,0.8648648648648649,0.1351351351351351
24033800504,80,71,0.8875,0.11250000000000004
24033800505,38,30,0.7894736842105263,0.21052631578947367
24033800507,166,128,0.7710843373493976,0.22891566265060237
24033800511,181,156,0.861878453038674,0.13812154696132595
24033800513,90,85,0.9444444444444444,0.05555555555555558
24033800514,122,114,0.9344262295081968,0.06557377049180324
24033800515,46,43,0.9347826086956522,0.06521739130434778
24033800516,49,42,0.8571428571428571,0.1428571428571429
24033800517,45,37,0.8222222222222222,0.1777777777777778
24033800518,56,41,0.7321428571428571,0.2678571428571429
24033800519,47,39,0.8297872340425532,0.17021276595744683
24033800520,20,18,0.9,0.09999999999999998
24033800521,117,100,0.8547008547008547,0.14529914529914534
24033800522,34,25,0.7352941176470589,0.2647058823529411
24033800605,53,44,0.8301886792452831,0.16981132075471694
24033800606,105,84,0.8,0.19999999999999996
24033800607,83,69,0.8313253012048193,0.1686746987951807
24033800608,108,98,0.9074074074074074,0.09259259259259256
24033800609,54,47,0.8703703703703703,0.12962962962962965
24033800701,397,332,0.836272040302267,0.16372795969773302
24033800704,66,54,0.8181818181818182,0.18181818181818177
24033800705,48,38,0.7916666666666666,0.20833333333333337
24033800706,41,36,0.8780487804878049,0.12195121951219512
24033800707,48,39,0.8125,0.1875
24033800800,49,38,0.7755102040816326,0.22448979591836737
24033800900,25,21,0.84,0.16000000000000003
24033801003,337,245,0.7270029673590505,0.27299703264094954
24033801004,161,141,0.8757763975155279,0.12422360248447206
24033801005,97,75,0.7731958762886598,0.22680412371134018
24033801006,34,28,0.8235294117647058,0.17647058823529416
24033801207,47,44,0.9361702127659575,0.06382978723404253
24033801208,38,31,0.8157894736842105,0.1842105263157895
24033801209,48,43,0.8958333333333334,0.10416666666666663
24033801210,58,37,0.6379310344827587,0.3620689655172413
24033801211,61,52,0.8524590163934426,0.14754098360655743
24033801212,35,32,0.9142857142857143,0.08571428571428574
24033801213,44,39,0.8863636363636364,0.11363636363636365
24033801214,28,25,0.8928571428571429,0.1071428571428571
24033801215,49,45,0.9183673469387755,0.08163265306122447
24033801216,29,23,0.7931034482758621,0.2068965517241379
24033801217,113,101,0.8938053097345132,0.10619469026548678
24033801302,40,36,0.9,0.09999999999999998
24033801305,73,57,0.7808219178082192,0.2191780821917808
24033801307,27,26,0.9629629629629629,0.03703703703703709
24033801308,40,38,0.95,0.050000000000000044
24033801309,52,49,0.9423076923076923,0.05769230769230771
24033801310,142,124,0.8732394366197183,0.12676056338028174
24033801311,84,75,0.8928571428571429,0.1071428571428571
24033801312,59,48,0.8135593220338984,0.18644067796610164
24033801313,42,36,0.8571428571428571,0.1428571428571429
24033801404,239,205,0.8577405857740585,0.14225941422594146
24033801405,24,21,0.875,0.125
24033801406,18,15,0.8333333333333334,0.16666666666666663
24033801407,70,60,0.8571428571428571,0.1428571428571429
24033801408,47,37,0.7872340425531915,0.21276595744680848
24033801409,15,14,0.9333333333333333,0.06666666666666665
24033801410,33,28,0.8484848484848485,0.1515151515151515
24033801411,34,31,0.9117647058823529,0.08823529411764708
24033801500,33,31,0.9393939393939394,0.06060606060606055
24033801600,41,32,0.7804878048780488,0.2195121951219512
24033801701,36,29,0.8055555555555556,0.19444444444444442
24033801702,17,14,0.8235294117647058,0.17647058823529416
24033801704,32,28,0.875,0.125
24033801707,31,25,0.8064516129032258,0.19354838709677424
24033801709,40,35,0.875,0.125
24033801801,16,11,0.6875,0.3125
24033801802,59,52,0.8813559322033898,0.11864406779661019
24033801807,28,27,0.9642857142857143,0.0357142857142857
24033801808,20,15,0.75,0.25
24033801809,47,42,0.8936170212765957,0.1063829787234043
24033801901,56,49,0.875,0.125
24033801904,25,22,0.88,0.12
24033801905,55,46,0.8363636363636363,0.1636363636363637
24033801906,29,27,0.9310344827586207,0.06896551724137934
24033801907,48,38,0.7916666666666666,0.20833333333333337
24033801908,7,6,0.8571428571428571,0.1428571428571429
24033802001,34,26,0.7647058823529411,0.23529411764705888
24033802002,35,33,0.9428571428571428,0.05714285714285716
24033802103,54,40,0.7407407407407407,0.2592592592592593
24033802104,30,22,0.7333333333333333,0.2666666666666667
24033802106,29,28,0.9655172413793104,0.03448275862068961
24033802107,42,33,0.7857142857142857,0.2142857142857143
24033802201,262,213,0.8129770992366412,0.1870229007633588
24033802203,42,37,0.8809523809523809,0.11904761904761907
24033802204,63,56,0.8888888888888888,0.11111111111111116
24033802301,45,38,0.8444444444444444,0.15555555555555556
24033802404,24,18,0.75,0.25
24033802405,29,26,0.896551724137931,0.10344827586206895
24033802406,19,15,0.7894736842105263,0.21052631578947367
24033802407,18,17,0.9444444444444444,0.05555555555555558
24033802408,10,7,0.7,0.30000000000000004
24033802501,21,18,0.8571428571428571,0.1428571428571429
